"","authfull","inst_name","cntry","np6020","firstyr","lastyr","rank (ns)","nc9620 (ns)","h20 (ns)","hm20 (ns)","nps (ns)","ncs (ns)","cpsf (ns)","ncsf (ns)","npsfl (ns)","ncsfl (ns)","c (ns)","npciting (ns)","cprat (ns)","np6020 cited9620 (ns)","self%","rank","nc9620","h20","hm20","nps","ncs","cpsf","ncsf","npsfl","ncsfl","c","npciting","cprat","np6020 cited9620","np6020_d","nc9620_d","sm-subfield-1","sm-subfield-1-frac","sm-subfield-2","sm-subfield-2-frac","sm-field","sm-field-frac","rank sm-subfield-1","rank sm-subfield-1 (ns)","sm-subfield-1 count"
"1298","Chi, Maochieh","National Taiwan Ocean University","twn",35,2002,2019,304994,866,12,7.83333333333333,6,209,22,756,25,763,2.95494843749403,812,1.06650246305419,29,0.0346,337333,897,12,8.58333333333333,6,213,22,775,25,783,2.96987468655793,833,1.07683073229292,30,8,39,"Materials",0.514285714285714,"Building & Construction",0.285714285714286,"Enabling & Strategic Technologies",0.542857142857143,5332,4600,285331
"1299","Chen, Wen Chou","Tahua Institute of Technology","twn",13,1994,2000,305030,738,11,6.41666666666667,3,557,9,645,12,715,2.95489145526367,700,1.05428571428571,12,0.0107,353762,746,11,6.41666666666667,3,558,9,648,12,721,2.94701140410225,704,1.05965909090909,12,0,47,"Materials",0.461538461538462,"Industrial Engineering & Automation",0.230769230769231,"Engineering",0.461538461538462,5652,4604,285331
"1300","Chao, Kuei Hsiang","National Chin-Yi University of Technology","twn",100,1992,2021,305401,967,18,10.25,8,40,65,765,75,841,2.95432668472417,895,1.0804469273743,76,0.1013,310077,1076,19,11.8333333333333,8,44,65,835,75,923,3.00982695447289,963,1.11734164070613,79,6,38,"Electrical & Electronic Engineering",0.28,"Artificial Intelligence & Image Processing",0.24,"Engineering",0.41,1095,1045,105029
"1301","Kao, Ming Chien","National Cheng Kung University","twn",98,1976,2017,306284,814,16,9.94285714285714,37,132,60,415,82,734,2.95300958580226,698,1.16618911174785,55,0.1035,316819,908,17,10.1428571428571,37,156,60,489,82,816,2.9996188693359,736,1.23369565217391,57,0,5,"General & Internal Medicine",0.183673469387755,"Neurology & Neurosurgery",0.122448979591837,"Clinical Medicine",0.938775510204082,3308,3423,224174
"1302","Huang, You Min","National Taiwan University of Science and Technology","twn",79,1985,2015,307413,785,18,12.2,2,40,57,664,69,750,2.95125294105612,632,1.24208860759494,51,0.1374,315750,910,19,12.5333333333333,2,47,57,760,69,873,3.00125884684049,696,1.30747126436782,54,6,41,"Materials",0.556962025316456,"Industrial Engineering & Automation",0.126582278481013,"Enabling & Strategic Technologies",0.594936708860759,4948,4643,285331
"1303","Lu, Liang Hung","National Taiwan University","twn",113,1994,2019,307986,2819,28,17.5141755904914,0,0,13,464,87,2389,2.95040341350992,2461,1.14546932141406,106,0.0709,337576,3034,30,18.340438216754,0,0,13,483,87,2476,2.96955068800806,2600,1.16692307692308,108,1,29,"Networking & Telecommunications",0.486725663716814,"Electrical & Electronic Engineering",0.353982300884956,"Information & Communication Technologies",0.584070796460177,3472,3069,183648
"1304","Chiu, Huang Jen","National Taiwan University of Science and Technology","twn",218,1999,2021,308228,2720,26,12.2595238095238,0,0,44,1522,126,2080,2.95001831879868,2349,1.15793954874415,175,0.0539,340814,2875,26,13.3690476190476,0,0,44,1574,126,2181,2.96489369648742,2446,1.17538838920687,179,0,67,"Electrical & Electronic Engineering",0.772511848341232,"Industrial Engineering & Automation",0.0568720379146919,"Engineering",0.867298578199052,1232,1059,105029
"1305","Lu, Tien Chang","National Chiao Tung University","twn",536,2000,2021,308864,5042,34,13.99329004329,3,0,38,548,147,1296,2.94901027716131,3855,1.30791180285344,304,0.208,290000,6366,38,15.866255966256,3,0,38,729,147,1697,3.04194958431803,4488,1.41844919786096,325,1,75,"Optoelectronics & Photonics",0.360225140712946,"Applied Physics",0.287054409005629,"Physics & Astronomy",0.51219512195122,1380,1342,108280
"1306","Chen, Hung Chi","National Yang Ming Chiao Tung University","twn",86,1999,2021,308964,772,17,10.8666666666667,4,78,61,562,74,660,2.94885014068737,622,1.2411575562701,66,0.1207,301125,878,18,12.5333333333333,4,96,61,652,74,752,3.02378617185824,685,1.28175182481752,72,0,11,"Electrical & Electronic Engineering",0.941176470588235,"Industrial Engineering & Automation",0.0235294117647059,"Engineering",0.976470588235294,1050,1063,105029
"1307","Jan, C. R.","Veterans General Hospital-Kaohsiung Taiwan","twn",308,1989,2020,310306,2493,22,11.5211552336552,2,5,59,483,264,1789,2.94682887155485,2133,1.16877637130802,268,0.352,223101,3847,27,14.9387237762238,2,6,59,963,264,2967,3.16237005969105,2513,1.5308396339037,290,0,33,"Pharmacology & Pharmacy",0.331168831168831,"Toxicology",0.233766233766234,"Biomedical Research",0.529220779220779,2303,3312,131063
"1308","Wang, Feng Sheng","National Chung Cheng University","twn",121,1983,2021,311655,1759,22,13.0697802197802,4,7,39,451,105,1429,2.94488044105208,1383,1.27187274041938,90,0.2015,245056,2203,25,14.6531135531136,4,21,39,594,105,1821,3.11973227512135,1517,1.45220830586684,95,0,53,"Chemical Engineering",0.445378151260504,"Industrial Engineering & Automation",0.109243697478992,"Engineering",0.647058823529412,1285,1705,66189
"1309","Lu, Lyan Ywan","National Cheng Kung University","twn",68,1990,2021,312668,758,18,10.1666666666667,4,85,46,566,52,593,2.94331179713914,618,1.22653721682848,50,0.2634,273611,1029,21,11.0833333333333,4,103,46,798,52,838,3.06904607188037,693,1.48484848484849,54,0,15,"Civil Engineering",0.492537313432836,"Strategic, Defence & Security Studies",0.149253731343284,"Engineering",0.567164179104478,661,727,47647
"1310","Ou, Ting Chia","Institute of Nuclear Energy Research Taiwan","twn",46,2006,2018,312877,906,13,7.79285714285714,3,223,17,551,33,696,2.94296900455733,502,1.80478087649402,34,0.0602,343828,964,14,7.79285714285714,3,233,17,574,33,735,2.96067628818553,525,1.83619047619048,35,0,17,"Energy",0.5,"Industrial Engineering & Automation",0.239130434782609,"Enabling & Strategic Technologies",0.5,4935,4339,229150
"1311","Jang, J. S.C.","National Central University","twn",267,1988,2021,313897,3360,27,14.3975940725941,0,0,48,946,114,1534,2.94140879210489,2698,1.24536693847294,224,0.2453,286411,4452,32,16.8265623265623,0,0,48,1191,114,1957,3.04771211590659,3073,1.44874715261959,243,3,53,"Materials",0.685393258426966,"Applied Physics",0.146067415730337,"Enabling & Strategic Technologies",0.764044943820225,4394,4760,285331
"1312","Hwang, Ren Hung","National Chung Cheng University","twn",218,1991,2020,314254,1281,19,10.5333333333333,4,24,66,588,166,990,2.94084163246929,1242,1.03140096618358,147,0.1166,314475,1450,20,11.7833333333333,4,29,66,649,166,1140,3.0032230425016,1342,1.08047690014903,158,1,54,"Networking & Telecommunications",0.587962962962963,"Artificial Intelligence & Image Processing",0.175925925925926,"Information & Communication Technologies",0.907407407407407,3194,3131,183648
"1313","Rao, Yerra Koteswara","National Ilan University","twn",84,2001,2020,315742,3022,31,11.9448162948163,0,0,27,1214,32,1497,2.93859541930357,2707,1.1163649796823,84,0.1083,334661,3389,34,12.3971972471972,0,0,27,1343,32,1651,2.97353502377736,2874,1.17919276270007,84,0,165,"Medicinal & Biomolecular Chemistry",0.261904761904762,"General Chemistry",0.0952380952380952,"Chemistry",0.535714285714286,1677,1543,88725
