"","authfull","inst_name","cntry","np6020","firstyr","lastyr","rank (ns)","nc9620 (ns)","h20 (ns)","hm20 (ns)","nps (ns)","ncs (ns)","cpsf (ns)","ncsf (ns)","npsfl (ns)","ncsfl (ns)","c (ns)","npciting (ns)","cprat (ns)","np6020 cited9620 (ns)","self%","rank","nc9620","h20","hm20","nps","ncs","cpsf","ncsf","npsfl","ncsfl","c","npciting","cprat","np6020 cited9620","np6020_d","nc9620_d","sm-subfield-1","sm-subfield-1-frac","sm-subfield-2","sm-subfield-2-frac","sm-field","sm-field-frac","rank sm-subfield-1","rank sm-subfield-1 (ns)","sm-subfield-1 count"
"1","Ho, Yuh Shan","Asia University","twn",320,1993,2021,418,42680,67,39.9718614718615,109,7000,171,37207,299,41281,4.80242472869751,29809,1.43178234761314,266,0.0652,379,45655,76,45.2218614718615,109,7602,171,38711,299,44159,4.85279202021121,30290,1.50726312314295,298,0,1163,"Science Studies",0.10062893081761,"Environmental Sciences",0.0660377358490566,"Engineering",0.172955974842767,1,1,4114
"2","Pumera, Martin","China Medical University Hospital Taichung","twn",755,1999,2021,784,32679,82,51.9853174603175,41,4332,91,8354,648,29106,4.68183611261438,22521,1.45104569068869,719,0.1675,571,39252,93,60.9376984126985,41,4809,91,9534,648,34699,4.76590871308068,23539,1.66753048132886,726,3,233,"Nanoscience & Nanotechnology",0.267022696929239,"General Chemistry",0.192256341789052,"Chemistry",0.496662216288384,20,23,89177
"3","Chen, Shyi Ming","National Taiwan University of Science and Technology","twn",385,1988,2021,1683,16117,77,51.1833333333333,31,3008,234,11090,341,14644,4.55054697612937,8907,1.80947569327495,328,0.0991,1751,17889,81,52.7666666666667,31,3225,234,12098,341,16096,4.57628012120929,9344,1.91449058219178,357,0,642,"Artificial Intelligence & Image Processing",0.844155844155844,"Operations Research",0.0285714285714286,"Information & Communication Technologies",0.94025974025974,36,38,253359
"4","Jahn, Bor ming","National Taiwan University","twn",276,1971,2019,2990,28005,80,38.5774170274171,9,1032,53,8164,118,14714,4.42805296810953,14454,1.93752594437526,268,0.1133,2992,31582,87,40.8202741702742,9,1100,53,8812,118,16185,4.46524715033521,15301,2.06404810143128,269,0,22,"Geochemistry & Geophysics",0.698884758364312,"Geology",0.230483271375465,"Earth & Environmental Sciences",0.996282527881041,26,28,81218
"5","Yeh, Jien Wei","National Tsing Hua University","twn",249,1986,2021,4203,24602,69,29.2797369297369,5,1391,23,7394,111,15055,4.35426971014108,8282,2.97053851726636,232,0.0918,4423,27089,72,31.1114219114219,5,1480,23,7809,111,16021,4.37944464637035,8589,3.15391780183956,240,1,351,"Materials",0.62655601659751,"Applied Physics",0.170124481327801,"Enabling & Strategic Technologies",0.75103734439834,52,48,285331
"6","Liu, Leroy F.","Taipei Medical University","twn",233,1975,2018,4587,25023,74,31.4751427715411,4,1265,21,3920,137,17506,4.33509623524697,16615,1.5060487511285,230,0.0739,5008,27021,77,33.3001427715411,4,1313,21,4041,137,18448,4.3523918008325,17354,1.55704736660136,230,0,139,"Biochemistry & Molecular Biology",0.359307359307359,"Medicinal & Biomolecular Chemistry",0.199134199134199,"Biomedical Research",0.523809523809524,264,232,189264
"7","Lin, Chih Jen","National Taiwan University","twn",128,1994,2021,4627,47542,50,24.6833333333333,7,1825,17,2506,100,43333,4.3335288486941,42229,1.12581401406616,118,0.0096,5582,48002,50,25.3,7,1853,17,2604,100,43693,4.32849173060704,42384,1.13255001887505,120,0,782,"Artificial Intelligence & Image Processing",0.707317073170732,"Operations Research",0.0487804878048781,"Information & Communication Technologies",0.813008130081301,97,92,253359
"8","Chen, Chien Jen","Academia Sinica, Genomics Research Center","twn",678,1979,2020,4707,48406,110,36.1604290733433,12,81,64,7306,327,23470,4.33007825198367,34439,1.40555765266123,631,0.1249,4552,55314,119,38.7768084785385,12,88,64,8031,327,26202,4.37388252170599,37323,1.48203520617314,636,0,489,"Oncology & Carcinogenesis",0.238380809595202,"Gastroenterology & Hepatology",0.139430284857571,"Clinical Medicine",0.613193403298351,202,217,271773
"9","Lai, Michael M.C.","China Medical University","twn",351,1972,2021,5834,16011,67,37.8246753246753,25,1506,55,2595,277,13824,4.28287460841276,9998,1.60142028405681,317,0.1052,5809,17893,71,41.8655844155844,25,1551,55,2722,277,15309,4.31981707525048,10515,1.70166428911079,322,0,52,"Virology",0.600574712643678,"Biochemistry & Molecular Biology",0.0919540229885057,"Biomedical Research",0.795977011494253,38,34,64670
"10","Chen, Ding Shinn","National Taiwan University Hospital","twn",794,1974,2021,6264,32778,83,37.8072679230423,12,594,48,1391,438,17583,4.26682180224281,22791,1.4381992891931,711,0.1544,5213,38765,94,39.9710246187031,12,734,48,1692,438,20815,4.34251526013855,24167,1.60404684073323,723,0,260,"Gastroenterology & Hepatology",0.38676844783715,"Virology",0.132315521628499,"Clinical Medicine",0.712468193384224,78,95,91513
"11","Huang, Norden E.","National Central University","twn",201,1966,2021,6667,34373,44,21.2300846814005,20,282,51,22208,131,31140,4.25135921711697,21280,1.61527255639098,154,0.0308,7447,35465,47,22.3340529353687,20,285,51,22581,131,31810,4.26385800828974,21585,1.64303914755617,159,3,943,"Meteorology & Atmospheric Sciences",0.16304347826087,"Networking & Telecommunications",0.0978260869565217,"Earth & Environmental Sciences",0.298913043478261,85,72,63897
"12","Jang, Jyh Shing Roger","National Taiwan University","twn",142,1989,2021,6728,16239,23,15.45,9,12493,25,15145,97,15827,4.24882080730224,14301,1.13551499895112,113,0.0086,8207,16380,23,15.7833333333333,9,12495,25,15171,97,15922,4.24073886538846,14386,1.13860697900737,118,2,543,"Artificial Intelligence & Image Processing",0.533333333333333,"Speech-Language Pathology & Audiology",0.148148148148148,"Information & Communication Technologies",0.614814814814815,138,120,253359
"13","Tsai, Chin Chung","National Taiwan Normal University","twn",411,1998,2021,6871,13540,62,40.7357142857143,34,1316,59,2666,331,11046,4.24461879909481,9805,1.38092809790923,372,0.1918,4697,16753,67,48.3761904761905,34,1939,59,3570,331,13599,4.3653785325844,10526,1.59158274748242,378,0,593,"Education",0.836633663366337,"Clinical Psychology",0.0198019801980198,"Social Sciences",0.886138613861386,8,15,70063
"14","Chang, Chein I.","Providence University Taiwan","twn",450,1988,2021,6931,12709,49,29.6730158730159,28,2289,104,5537,354,11502,4.24256953958548,7838,1.62145955600919,337,0.1948,5136,15783,55,34.9992063492063,28,2739,104,6864,354,14246,4.34631003016467,8384,1.8825143129771,378,0,151,"Geological & Geomatics Engineering",0.419724770642202,"Optoelectronics & Photonics",0.277522935779817,"Engineering",0.474770642201835,10,11,52403
"15","Yen, Gow Chin","National Chung Hsing University","twn",298,1986,2021,7495,18587,73,42.8864468864469,3,116,88,7048,273,17723,4.22331359558102,16089,1.15526135869227,276,0.041,8704,19381,75,44.5864468864469,3,116,88,7230,273,18464,4.22716713939713,16373,1.18371709521774,278,0,921,"Food Science",0.557432432432432,"Nutrition & Dietetics",0.141891891891892,"Agriculture, Fisheries & Forestry",0.587837837837838,21,19,58351
"16","Wu, Kenneth K.","National Health Research Institutes Taiwan","twn",370,1973,2021,7788,19303,69,33.7440603946752,32,1089,94,2531,247,8771,4.21369649659448,16296,1.18452380952381,331,0.1011,8015,21474,73,35.7533349584952,32,1161,94,2698,247,9855,4.24661190385723,17151,1.25205527374497,333,0,155,"Cardiovascular System & Hematology",0.272972972972973,"Biochemistry & Molecular Biology",0.232432432432432,"Clinical Medicine",0.637837837837838,407,386,192021
"17","Lin, Jen Kun","National Taiwan University College of Medicine","twn",286,1967,2015,7819,20059,71,39.6180467193625,9,365,70,2506,231,16385,4.21273995611487,16088,1.24682993535554,252,0.0591,8826,21318,74,40.9180467193625,9,372,70,2611,231,17392,4.22379252730492,16517,1.29067021856269,254,0,423,"Oncology & Carcinogenesis",0.270462633451957,"Food Science",0.163701067615658,"Clinical Medicine",0.476868327402135,394,361,271773
"18","Juang, Ruey Shin","Chang Gung University","twn",352,1984,2021,7906,19375,68,41.6845238095238,4,141,173,6240,315,16736,4.20993078991754,16292,1.18923397986742,334,0.0423,9115,20231,69,43.1527777777778,4,146,173,6603,315,17452,4.2165050095467,16659,1.21441863257098,336,0,486,"Chemical Engineering",0.514204545454545,"Biotechnology",0.110795454545455,"Engineering",0.5625,35,26,66189
"19","Chao, Anne","National Tsing Hua University","twn",110,1981,2020,8227,14165,42,22.4366013071895,8,1961,57,9624,76,11613,4.20031904342291,10276,1.37845465161542,106,0.0512,9089,14929,44,23.9366013071895,8,1994,57,9967,76,12027,4.21724184499881,10602,1.40813054140728,106,0,27,"Ecology",0.364485981308411,"Statistics & Probability",0.345794392523365,"Biology",0.429906542056075,155,148,53981
"20","Liaw, Yun Fan","Chang Gung University College of Medicine","twn",304,1972,2008,8358,15721,64,29.3151265401265,22,673,66,5058,233,11865,4.19624622291285,11374,1.38218744505011,236,0.0922,9085,17317,67,29.991317016317,22,715,66,5393,233,12970,4.21736351120975,11893,1.45606659379467,243,0,128,"Gastroenterology & Hepatology",0.378289473684211,"General & Internal Medicine",0.207236842105263,"Clinical Medicine",0.819078947368421,140,137,91513
"21","Kao, Jia Horng","National Taiwan University Hospital","twn",629,1991,2021,8794,19354,63,30.7596976043068,47,552,133,4731,394,9963,4.18354309391573,13651,1.41777159182478,537,0.1995,6816,24178,71,34.9728420037671,47,704,133,5800,394,12322,4.2848794040271,15070,1.6043795620438,549,0,203,"Gastroenterology & Hepatology",0.399038461538462,"Virology",0.092948717948718,"Clinical Medicine",0.782051282051282,104,146,91513
"22","Civalek, O.","China Medical University","twn",164,2002,2021,8834,7405,57,39.9166666666667,35,1817,80,3063,154,7148,4.18237994916265,3346,2.21309025702331,154,0.1492,7825,8704,63,41.25,35,2308,80,3759,154,8390,4.2516812512506,3533,2.46362864421172,157,5,124,"Materials",0.231707317073171,"Mechanical Engineering & Transports",0.225609756097561,"Engineering",0.457317073170732,98,104,285331
"23","Lee, Duu Jong","National Taiwan University","twn",1042,1989,2021,9389,29273,79,43.904736929737,18,176,80,1592,600,13150,4.16684923899157,22282,1.31375100978368,947,0.1752,7203,35489,88,49.0848346098347,18,241,80,2121,600,16251,4.27208912182161,24046,1.47587956416868,984,2,440,"Biotechnology",0.264849074975657,"Chemical Engineering",0.207400194741967,"Enabling & Strategic Technologies",0.415774099318403,19,22,52513
"24","Stević, Stevo","China Medical University Hospital Taichung","twn",413,2001,2021,9415,5974,42,38.8333333333333,236,3427,317,3974,408,5947,4.16637337909108,1129,5.29140832595217,348,0.4945,2038,11818,66,60.6666666666667,236,7030,317,8321,408,11754,4.5467128763555,1567,7.54179961710274,386,0,98,"Numerical & Computational Mathematics",0.375302663438257,"Applied Mathematics",0.307506053268765,"Mathematics & Statistics",0.939467312348668,3,6,14725
"25","Hou, Wei Shu","National Taiwan University","twn",1840,1983,2021,9440,59071,98,23.527576829249,63,803,141,2194,185,3003,4.16582650604975,28242,2.09160116139084,1668,0.3752,6534,94538,129,25.5408588555506,63,898,141,2736,185,3734,4.29469456552207,35896,2.63366391798529,1723,1,1679,"Nuclear & Particle Physics",0.777898747958628,"General Physics",0.192161132280893,"Physics & Astronomy",1,109,151,135975
"26","Wai, Rong Jong","National Taiwan University of Science and Technology","twn",266,1997,2021,9582,8750,53,34.8166666666667,15,783,192,7235,228,7854,4.16188149934618,7002,1.24964295915453,229,0.0905,10190,9621,56,36.4833333333333,15,842,192,7698,228,8458,4.18896501240377,7332,1.31219312602291,232,1,335,"Electrical & Electronic Engineering",0.454545454545454,"Artificial Intelligence & Image Processing",0.227272727272727,"Engineering",0.643939393939394,18,19,105029
"27","Ploog, K. H.","National Sun Yat-Sen University","twn",1751,1968,2020,9723,29617,77,41.0766594516595,30,227,77,779,1407,23362,4.15845846139146,21471,1.37939546364864,1391,0.1734,9285,35832,86,44.9433261183261,30,233,77,793,1407,28313,4.2124078480787,23660,1.51445477599324,1451,0,128,"Applied Physics",0.731121281464531,"General Physics",0.0806636155606407,"Physics & Astronomy",0.912471395881007,230,237,269833
"28","Chen, Shen Ming","National Taipei University of Technology","twn",943,1990,2021,9753,20300,63,39.7569805194805,13,482,74,1906,345,10369,4.15781234083619,14832,1.36866235167206,907,0.198,7589,25312,71,44.8597582972584,13,628,74,2418,345,12396,4.25894206593689,15901,1.59184956920948,923,4,294,"Energy",0.359957401490948,"Analytical Chemistry",0.252396166134185,"Enabling & Strategic Technologies",0.440894568690096,66,85,229150
"29","Cheng, Hai Yang","Academia Sinica, Institute Of Physics","twn",251,1979,2021,10288,7587,48,33.799495334453,83,1535,196,5803,216,6098,4.14543235096472,4547,1.668572685287,226,0.1582,9559,9013,53,36.3846839553559,83,1680,196,6658,216,7047,4.20503144729167,5030,1.79184890656064,230,0,36,"Nuclear & Particle Physics",0.884462151394422,"General Physics",0.0677290836653386,"Physics & Astronomy",1,158,166,135975
"30","Liu, Fu Tong","Academia Sinica, Institute of Biomedical Sciences","twn",348,1974,2020,10392,19155,72,30.0141636141636,10,428,41,3363,132,8878,4.14291408770634,10452,1.83266360505166,323,0.1643,9458,22921,80,32.9259462759463,10,490,41,3729,132,10228,4.20829050759018,11512,1.99105281445448,325,2,202,"Immunology",0.299418604651163,"Biochemistry & Molecular Biology",0.197674418604651,"Clinical Medicine",0.665697674418605,368,400,127911
"31","Hsueh, Po Ren","National Taiwan University Hospital","twn",978,1991,2021,10460,27136,76,33.9073907823209,8,116,95,3435,563,15302,4.1412021670037,23261,1.16658785090925,932,0.1175,10154,30749,82,36.2383070882372,8,127,95,4033,563,17119,4.19014363262896,24816,1.23907962604771,942,0,386,"Microbiology",0.653374233128834,"General & Internal Medicine",0.0695296523517382,"Biomedical Research",0.798568507157464,241,240,165244
"32","Chou, Pi Tai","National Taiwan University","twn",548,1983,2021,11989,25078,80,34.2735181485181,2,75,65,3305,300,14963,4.10536256638901,16464,1.52320213799806,529,0.1425,10842,29245,87,37.3516677766678,2,93,65,3884,300,17020,4.17343630906637,17596,1.66202546033189,533,0,146,"Chemical Physics",0.183150183150183,"Organic Chemistry",0.181318681318681,"Chemistry",0.514652014652015,304,305,92738
"33","Lin, Hsiu Fen","National Taiwan Ocean University","twn",43,2004,2017,12334,5978,32,28.6666666666667,31,4220,39,5319,42,5959,4.0985436599791,5233,1.14236575578062,43,0.0132,15140,6058,32,28.6666666666667,31,4255,39,5387,42,6033,4.08722611435661,5270,1.14952561669829,43,0,352,"Business & Management",0.418604651162791,"Information Systems",0.13953488372093,"Economics & Business",0.604651162790698,101,93,44945
"34","Hwang, Gwo Jen","National Taiwan University of Science and Technology","twn",392,1990,2021,12369,10899,54,32.0928571428571,17,544,108,4834,217,7433,4.0979442293533,6865,1.58761835396941,336,0.1969,9837,13571,62,35.8428571428571,17,685,108,5987,217,9103,4.19782659106754,7339,1.84916201117318,345,4,458,"Education",0.71875,"Artificial Intelligence & Image Processing",0.1015625,"Social Sciences",0.760416666666667,24,35,70063
"35","Wei, Yau Huei","Changhua Christian Hospital Taiwan","twn",383,1984,2021,12475,16211,69,33.628961038961,4,395,23,1595,250,11061,4.09600004591937,12611,1.28546507017683,363,0.1079,12610,18172,73,35.0345526695527,4,456,23,1770,250,12406,4.13587233434097,13181,1.37865108868826,367,0,165,"Biochemistry & Molecular Biology",0.232984293193717,"Neurology & Neurosurgery",0.081151832460733,"Clinical Medicine",0.541884816753927,650,652,189264
"36","Yang, Pan Chyr","National Taiwan University Hospital","twn",711,1981,2021,12626,34572,88,35.2252020823113,4,117,21,899,346,16836,4.09280986575863,30421,1.13645179316919,675,0.0908,13337,38023,92,36.8925046871139,4,128,21,979,346,18175,4.1205778471809,32289,1.17758369723435,678,0,459,"Oncology & Carcinogenesis",0.265822784810127,"Respiratory System",0.174402250351617,"Clinical Medicine",0.739803094233474,586,572,271773
"37","Tsai, Wen Tien","National Pingtung University of Science and Technology","twn",187,1994,2021,12736,7098,47,27.8261904761905,69,1233,163,6307,169,6476,4.09020498156122,6339,1.11973497397066,169,0.063,14440,7575,48,27.8261904761905,69,1327,163,6724,169,6904,4.09973801923121,6521,1.16163165158718,174,1,223,"Energy",0.259459459459459,"Environmental Sciences",0.237837837837838,"Enabling & Strategic Technologies",0.481081081081081,128,110,229150
"38","Liu, Ying Ling","National Tsing Hua University","twn",234,1993,2021,13265,9867,56,30.9,5,454,85,5283,169,7265,4.07916962430155,7528,1.31070669500531,221,0.12,13364,11213,59,33.1261904761905,5,494,85,5814,169,8147,4.12003597146544,7909,1.41775192818308,225,3,113,"Polymers",0.5,"Chemical Engineering",0.145299145299145,"Chemistry",0.581196581196581,121,115,100162
"39","Chen, Chen Tung Arthur","National Sun Yat-Sen University","twn",308,1976,2021,13761,9334,51,28.8853192200753,29,902,95,4186,159,6087,4.06890576850968,7232,1.29065265486726,288,0.1834,12252,11430,57,31.5960351123701,29,1063,95,4835,159,7081,4.14360146286145,7950,1.4377358490566,295,0,19,"Oceanography",0.304918032786885,"Meteorology & Atmospheric Sciences",0.170491803278688,"Earth & Environmental Sciences",0.675409836065574,8,10,16540
"40","Chang, Chin Chen","Feng Chia University","twn",1329,1980,2019,13854,16968,60,39.9523809523809,14,43,555,7572,953,12969,4.06671457164039,11732,1.44630071599045,999,0.1477,11598,19908,65,42.2857142857143,14,72,555,8956,953,15194,4.15611617808999,12808,1.55434103685197,1060,93,1491,"Artificial Intelligence & Image Processing",0.397865853658537,"Networking & Telecommunications",0.171493902439024,"Information & Communication Technologies",0.798780487804878,189,229,253359
"41","Tseng, Chin Hsiao","National Taiwan University Hospital","twn",211,1990,2021,13880,6108,41,29.3218364968365,126,2699,164,4048,180,4539,4.06637106769025,4821,1.26695706285003,199,0.2025,10695,7659,45,33.7218364968365,126,3532,164,5292,180,5842,4.17710043040502,5171,1.48114484625798,202,0,94,"Endocrinology & Metabolism",0.247619047619048,"Cardiovascular System & Hematology",0.161904761904762,"Clinical Medicine",0.80952380952381,304,375,81805
"42","Tzeng, Gwo Hshiung","National Taipei University","twn",411,1980,2021,13938,18611,67,38.7833333333333,5,66,40,3434,296,14222,4.06513724339429,12863,1.44686309570085,341,0.1402,13552,21645,73,41.9833333333334,5,70,40,3861,296,16464,4.11693422627438,13297,1.62781078438746,359,0,652,"Artificial Intelligence & Image Processing",0.427518427518428,"Business & Management",0.0933660933660934,"Information & Communication Technologies",0.452088452088452,215,232,253359
"43","Chang, Mei Hwei","National Taiwan University Hospital","twn",455,1975,2021,14070,12800,57,27.5088566546846,29,674,65,3352,214,6270,4.0628347159517,9224,1.38768430182134,407,0.136,14221,14815,62,28.6818725277005,29,698,65,3773,214,7100,4.10368071234095,9710,1.52574665293512,408,0,97,"Pediatrics",0.305309734513274,"Gastroenterology & Hepatology",0.294247787610619,"Clinical Medicine",0.851769911504425,50,52,63988
"44","Tsai, Shih Jen","Veterans General Hospital-Taipei","twn",511,1995,2021,14946,11140,53,28.93770041943,50,683,126,2954,281,6739,4.04629127505391,8927,1.24789963033494,468,0.0948,15525,12306,55,30.5714056031351,50,783,126,3214,281,7335,4.08061975873518,9440,1.30360169491525,480,0,55,"Psychiatry",0.396449704142012,"Neurology & Neurosurgery",0.252465483234714,"Clinical Medicine",0.948717948717949,420,415,68582
"45","Cheng, Ann Lii","National Taiwan University Hospital","twn",502,1986,2021,15165,26288,70,25.5514192183232,6,67,31,5175,226,13115,4.0423955549259,19621,1.33978900157994,475,0.0986,16128,29162,73,26.9671514251845,6,71,31,5506,226,14431,4.06978408762772,20710,1.40811202317721,480,0,239,"Oncology & Carcinogenesis",0.552,"Gastroenterology & Hepatology",0.124,"Clinical Medicine",0.926,714,691,271773
"46","Kao, Chiang","National Cheng Kung University","twn",146,1979,2021,16204,5638,37,27.5833333333333,47,1678,131,5085,142,5513,4.024425927666,3767,1.49668170958322,130,0.08,17490,6128,38,28.5833333333333,47,1831,131,5536,142,5982,4.04816886169489,3911,1.56686269496292,136,1,169,"Operations Research",0.538461538461538,"Artificial Intelligence & Image Processing",0.125874125874126,"Engineering",0.643356643356643,33,34,26063
"47","Chen, Y. F.","National Chiao Tung University","twn",438,1992,2020,16240,6262,42,28.7761904761905,24,1281,143,4202,344,5431,4.02390223978724,3912,1.60071574642127,323,0.1932,14535,7762,47,30.8428571428571,24,1435,143,4995,344,6640,4.09800811011963,4364,1.77864344637947,344,0,5,"Optics",0.416475972540046,"Optoelectronics & Photonics",0.352402745995423,"Physics & Astronomy",0.640732265446224,64,66,64512
"48","Cheung, K.","National Tsing Hua University","twn",526,1990,2021,16405,10919,52,28.9026305392719,29,819,147,3531,155,3604,4.02081751736221,6360,1.71682389937107,483,0.2697,15579,14952,60,29.9212027633314,29,854,147,3871,155,3969,4.07970041684116,7729,1.93453228101954,498,0,33,"Nuclear & Particle Physics",0.906844106463878,"General Physics",0.0722433460076046,"Physics & Astronomy",1,258,249,135975
"49","Lin, Faa Jeng","National Central University","twn",286,1985,2021,16699,7349,48,31.9166666666667,8,323,210,6215,238,6817,4.01593921408159,5646,1.3016294721927,248,0.1237,16546,8386,50,33.9166666666667,8,375,210,7082,238,7767,4.0630490914808,5982,1.40187228351722,252,2,219,"Electrical & Electronic Engineering",0.404929577464789,"Industrial Engineering & Automation",0.183098591549296,"Engineering",0.654929577464789,41,41,105029
"50","Huang, Leaf","Chung Yuan Christian University","twn",440,1974,2016,17383,35100,95,49.8203957105273,10,17,26,434,339,28333,4.00445469972089,22686,1.5472097328749,417,0.0788,18787,38102,100,52.5782632514831,10,18,26,464,339,30275,4.02795580278232,23593,1.61497054210995,418,0,256,"Pharmacology & Pharmacy",0.277522935779817,"Biotechnology",0.18348623853211,"Clinical Medicine",0.465596330275229,152,139,131063
"51","Wong, Kin Lu","National Sun Yat-Sen University","twn",724,1986,2020,17878,15573,64,40.6833333333333,6,19,249,5951,649,14194,3.99691869653647,9504,1.63857323232323,665,0.1771,15984,18924,68,46.9333333333333,6,20,249,7423,649,17294,4.07247700299313,10098,1.87403446226976,676,1,282,"Networking & Telecommunications",0.917127071823204,"Electrical & Electronic Engineering",0.0649171270718232,"Information & Communication Technologies",0.922651933701657,121,143,183648
"52","Chung, Sun Lin","Academia Sinica, Institute of Earth Sciences","twn",267,1990,2021,19234,20320,73,24.7812992562992,2,130,23,3793,64,5034,3.9764619361656,10373,1.95893184228285,246,0.137,19812,23545,78,26.1519341769342,2,137,23,4054,64,5626,4.01270551692412,11326,2.07884513508741,252,0,15,"Geochemistry & Geophysics",0.692883895131086,"Geology",0.198501872659176,"Earth & Environmental Sciences",0.97752808988764,320,304,81218
"53","Liu, Dean Mo","National Chiao Tung University","twn",166,1992,2019,19240,7205,46,26.197619047619,31,1114,70,2876,123,4640,3.97638588461195,6192,1.16359819121447,159,0.0495,21908,7580,47,27.6142857142857,31,1129,70,2947,123,4852,3.98592583394754,6360,1.19182389937107,160,6,162,"Materials",0.409638554216868,"Biomedical Engineering",0.174698795180723,"Enabling & Strategic Technologies",0.475903614457831,269,222,285331
"54","Huang, Michael H.","National Tsing Hua University","twn",149,1995,2021,19630,22998,54,24.7325757575757,2,16,17,12411,130,20287,3.97055446004554,19302,1.19148274790177,133,0.0711,16894,24759,57,27.9742424242424,2,32,17,12707,130,21821,4.05761012659706,19722,1.25540006084576,141,0,680,"Nanoscience & Nanotechnology",0.22972972972973,"General Chemistry",0.182432432432432,"Chemistry",0.432432432432433,179,196,89177
"55","Chen, Wei Hsin","National Cheng Kung University","twn",328,1993,2021,19721,9901,54,27.3353535353535,18,156,166,5887,222,7334,3.96893383116747,7172,1.38050752928054,292,0.1978,13816,12342,62,33.1520202020202,18,263,166,7365,222,9063,4.11151462215912,7686,1.60577673692428,303,0,139,"Energy",0.631901840490798,"Biotechnology",0.113496932515337,"Enabling & Strategic Technologies",0.763803680981595,125,178,229150
"56","Kuo, Hann Chorng","Tzu Chi University","twn",429,1985,2021,20290,5227,38,30.1484126984127,95,1662,125,2147,398,4885,3.96069045302292,3218,1.62430080795525,333,0.2742,14344,7202,45,34.989746031746,95,2212,125,2857,398,6700,4.10164368819509,3646,1.9753154141525,362,0,32,"Urology & Nephrology",0.564102564102564,"General & Internal Medicine",0.223776223776224,"Clinical Medicine",0.934731934731935,146,221,76322
"57","Wang, Chi Chuan","National Chiao Tung University","twn",403,1985,2021,20497,10223,51,30.8666666666666,13,151,83,3408,343,9279,3.95786633919687,7206,1.41867887871218,327,0.0978,20337,11331,54,32.7,13,182,83,3887,343,10270,4.00568990534662,7533,1.50418160095579,340,2,208,"Mechanical Engineering & Transports",0.653366583541147,"Energy",0.0997506234413965,"Engineering",0.72069825436409,120,115,109724
"58","Liu, Ru Shi","National Taiwan University","twn",688,1986,2021,20781,23015,78,30.8689366189366,8,67,131,1086,376,11799,3.95408424665809,17885,1.28683254123567,576,0.0841,22969,25128,80,31.9039506245389,8,71,131,1174,376,12769,3.97270525088653,18881,1.33086171283301,584,1,215,"Applied Physics",0.219219219219219,"General Physics",0.153153153153153,"Physics & Astronomy",0.432432432432433,574,507,269833
"59","Cheng, Ching Hsue","National Yunlin University of Science and Technology","twn",211,1993,2021,20936,6673,40,23.95,10,1169,92,3564,153,4797,3.95214040442405,5427,1.22959277685646,178,0.0494,24035,7020,42,24.2833333333333,10,1178,92,3674,153,5055,3.9595422775808,5593,1.25514035401395,185,6,341,"Artificial Intelligence & Image Processing",0.57345971563981,"Industrial Engineering & Automation",0.0663507109004739,"Information & Communication Technologies",0.625592417061611,397,357,253359
"60","Lin, Yi Chi","Chang Gung University College of Medicine","twn",315,1986,2010,20991,13486,49,23.8809884559884,10,335,77,2312,144,8889,3.95133835816827,12470,1.08147554129912,259,0.0655,22648,14432,52,25.8059884559885,10,339,77,2482,144,9221,3.97669798308748,13141,1.0982421429115,268,0,129,"Numerical & Computational Mathematics",0.146031746031746,"Applied Physics",0.0571428571428571,"Mathematics & Statistics",0.215873015873016,22,21,14725
"61","Wang, Ching Jen","Chang Gung University College of Medicine","twn",227,1996,2019,22125,8128,51,23.9488455988456,8,482,79,3525,132,4874,3.93617579076025,5216,1.55828220858896,218,0.1047,23210,9079,53,24.9452741702742,8,520,79,3999,132,5468,3.9699665795151,5452,1.66526045487894,220,0,94,"Orthopedics",0.440528634361234,"Surgery",0.101321585903084,"Clinical Medicine",0.929515418502203,143,144,67782
"62","Hung, Mien Chie","China Medical University","twn",484,1977,2021,22395,45252,112,42.1794788718986,4,3,21,782,292,25533,3.93279238412167,36357,1.24465714992986,453,0.0908,23926,49772,118,45.2273324072521,4,3,21,858,292,28132,3.96079040625965,38149,1.3046737791292,458,1,422,"Oncology & Carcinogenesis",0.553941908713693,"Biochemistry & Molecular Biology",0.130705394190871,"Clinical Medicine",0.680497925311203,1058,1033,271773
"63","Sasaki, Misao","National Taiwan University","twn",374,1981,2021,23099,11531,54,30.954457990691,11,124,36,2689,218,7386,3.923917825094,7322,1.57484293908768,295,0.1782,22865,14031,58,32.7192036213082,11,135,36,2997,218,8528,3.9739564971323,8312,1.68804138594803,301,0,12,"Nuclear & Particle Physics",0.838709677419355,"General Physics",0.0618279569892473,"Physics & Astronomy",0.997311827956989,406,363,135975
"64","Tseng, Ming Lang","Asia University","twn",223,2006,2021,23156,5895,39,25.8666666666667,12,1033,72,3292,119,4039,3.9232613255217,4725,1.24761904761905,207,0.1598,21163,7016,45,27.15,12,1187,72,3904,119,4792,3.99508606098001,5016,1.39872408293461,210,0,191,"Environmental Sciences",0.427927927927928,"Operations Research",0.121621621621622,"Earth & Environmental Sciences",0.459459459459459,92,103,77304
